851203	YAL030W	103	215
851260	YAL003W	81	446
851262	YAL001C	71	160
852161	YBL111C	795	893
852186	YBL091C-A	35	122
852191	YBL087C	43	546
852220	YBL059C-A	35	119
852221	YBL059W	287	355
852230	YBL050W	31	146
852240	YBL040C	23	119
852254	YBL027W	3	386
852255	YBL026W	55	182
852263	YBL018C	48	122
852337	YBR048W	46	556
852354	YBR062C	17	98
852370	YBR078W	59	388
852376	YBR082C	48	142
852379	YBR084C-A	3	508
852387	YBR090C	186	542
1466445	YBR111W-A	72	151
1466445	YBR111W-A	292	361
852416	YBR119W	9	97
852479	YBR181C	7	358
852484	YBR186W	1552	1664
852487	YBR189W	8	420
852489	YBR191W	12	399
852516	YBR215W	14	97
852520	YBR219C	302	722
852531	YBR230C	12	108
852558	YBR255C-A	64	157
2746859	YCL012C	89	155
2732686	YCL005W-A	12	88
2732686	YCL005W-A	170	265
850353	YCL002C	43	118
850395	YCR028C-A	243	325
850397	YCR031C	8	314
850459	YCR097W	106	159
850459	YCR097W	406	457
851307	YDL219W	66	136
851336	YDL191W	4	494
851419	YDL136W	4	408
851427	YDL130W	115	415
851432	YDL125C	98	208
851442	YDL115C	83	152
851450	YDL108W	29	109
851476	YDL083C	25	456
851477	YDL082W	5	369
851480	YDL079C	413	704
851484	YDL075W	58	478
851495	YDL064W	39	148
851532	YDL029W	23	145
851550	YDL012C	46	131
851568	YDR005C	7	86
851589	YDR025W	46	384
851631	YDR059C	48	137
851636	YDR064W	22	560
851666	YDR092W	31	298
851707	YDR129C	22	132
851717	YDR139C	150	222
851899	YDR305C	88	176
851916	YDR318W	53	135
851973	YDR367W	31	131
851988	YDR381W	286	1051
851989	YDR381C-A	27	220
852006	YDR397C	38	129
852034	YDR424C	26	121
852034	YDR424C	145	224
852058	YDR447C	4	317
852061	YDR450W	48	482
852082	YDR471W	32	415
852111	YDR500C	8	396
856632	YEL076C-A	514	792
856704	YEL012W	6	128
856715	YEL003W	20	107
856720	YER003C	32	124
856725	YER007C-A	12	114
856735	YER014C-A	24	531
856768	YER044C-A	64	151
856784	YER056C-A	38	434
856805	YER074W	4	469
856806	YER074W-A	95	196
856806	YER074W-A	305	415
856829	YER093C-A	125	199
856853	YER117W	43	513
856870	YER133W	178	702
856926	YER179W	133	224
850504	YFL039C	11	319
850508	YFL034C-B	21	134
850509	YFL034C-A	13	333
850513	YFL031W	662	913
850580	YFR024C-A	48	141
850590	YFR031C-A	5	151
850606	YFR045W	13	84
852641	YGL251C	59	210
852619	YGL232W	58	115
852625	YGL226C-A	22	170
852692	YGL183C	4	86
852697	YGL178W	4	643
852740	YGL137W	19	218
852775	YGL103W	50	560
852793	YGL087C	12	96
852804	YGL076C	12	470
852804	YGL076C	565	1032
852850	YGL033W	56	125
852850	YGL033W	689	750
852853	YGL030W	4	233
852884	YGR001C	36	97
852884	YGR001C	577	669
852916	YGR029W	87	169
852922	YGR034W	20	496
853015	YGR118W	66	384
853095	YGR183C	4	216
853128	YGR214W	91	545
853140	YGR225W	1184	1276
853213	YGR296W	20	167
856335	YHL050C	642	1414
856388	YHL001W	130	527
856390	YHR001W-A	7	69
856401	YHR010W	32	592
856403	YHR012W	49	167
856409	YHR016C	48	215
856415	YHR021C	4	553
856435	YHR039C-A	4	165
856437	YHR041C	15	115
856475	YHR076W	56	148
856476	YHR077C	7	119
856479	YHR079C-A	114	199
856497	YHR097C	126	249
856501	YHR101C	111	197
856523	YHR123W	51	141
856544	YHR141C	5	445
2746858	YHR199C-A	74	140
856610	YHR203C	15	283
856628	YHR218W	603	701
854630	YIL177C	1162	1549
3628034	YIL156W-B	10	71
854658	YIL148W	9	442
854673	YIL133C	32	321
854695	YIL111W	2	89
854700	YIL106W	21	105
854737	YIL073C	56	145
854741	YIL069C	4	412
854759	YIL052C	38	509
854794	YIL018W	5	404
854813	YIL004C	12	142
853231	YJL225C	1162	1549
853225	YJL205C	33	175
853248	YJL191W	11	418
853250	YJL189W	7	392
853262	YJL177W	310	626
853305	YJL136C	25	484
853409	YJL041W	2	119
853421	YJL031C	4	90
853429	YJL024C	23	99
853456	YJL001W	66	181
853478	YJR021C	317	396
853542	YJR079W	144	848
853557	YJR094W-A	3	277
1466470	YJR112W-A	21	69
853610	YJR145C	15	270
853644	YKL190W	53	128
853674	YKL180W	310	615
853699	YKL157W	282	664
853700	YKL156W	4	354
853781	YKL081W	206	531
853863	YKL006C-A	37	177
853864	YKL006W	130	527
853868	YKL002W	61	128
853873	YKR004C	227	330
853874	YKR005C	148	216
853931	YKR057W	25	346
853969	YKR094C	9	376
1500489	YKR095W-A	39	113
850659	YLL067C	288	386
850660	YLL066C	288	386
850676	YLL050C	15	193
850737	YLR048W	91	449
850743	YLR054C	32	118
850750	YLR061W	13	401
850767	YLR078C	4	92
850782	YLR093C	17	157
850819	YLR128W	4	97
850882	YLR185W	8	366
850896	YLR199C	7	92
850908	YLR211C	19	77
850981	YLR275W	6	95
850994	YLR287C-A	4	433
851015	YLR306W	4	137
851027	YLR316C	110	177
851027	YLR316C	230	285
851040	YLR329W	175	271
851058	YLR344W	20	466
851082	YLR367W	698	1180
851122	YLR406C	58	406
851146	YLR426W	81	151
851166	YLR445W	385	466
851169	YLR448W	16	399
851185	YLR464W	514	792
854906	YML133C	795	893
854915	YML124C	26	323
854879	YML094W	17	99
854889	YML085C	26	141
854902	YML073C	16	430
854935	YML067C	32	124
854948	YML056C	461	868
854972	YML036W	457	562
854974	YML034W	1921	2046
854982	YML026C	48	448
854983	YML025C	28	126
854984	YML024W	4	401
854991	YML017W	5	366
855049	YMR033W	31	116
855103	YMR079W	10	165
855143	YMR116C	538	810
855155	YMR125W	26	347
855163	YMR133W	1243	1358
855173	YMR142C	5	406
855174	YMR143W	25	568
855232	YMR194W	17	479
1466503	YMR194C-B	41	112
855241	YMR201C	28	111
855265	YMR225C	59	205
855270	YMR230W	53	462
855283	YMR242C	2	478
855337	YMR292W	23	104
855377	YNL339C	20	167
855404	YNL312W	8	115
855414	YNL302C	21	571
855415	YNL301C	113	544
855456	YNL265C	28	132
855475	YNL246W	33	127
855560	YNL162W	5	516
855575	YNL147W	19	114
1466511	YNL138W-A	4	125
855593	YNL130C	51	142
855611	YNL112W	1274	2275
855628	YNL096C	145	489
855655	YNL069C	29	477
855677	YNL050C	18	108
